DATE,TLHLTHCONS
2002-01-01,25746
2002-02-01,25438
2002-03-01,25639
2002-04-01,26117
2002-05-01,26459
2002-06-01,27686
2002-07-01,27602
2002-08-01,27763
2002-09-01,27951
2002-10-01,28392
2002-11-01,28486
2002-12-01,28151
2003-01-01,27690
2003-02-01,29153
2003-03-01,28925
2003-04-01,28953
2003-05-01,29297
2003-06-01,29744
2003-07-01,29065
2003-08-01,29253
2003-09-01,29079
2003-10-01,29710
2003-11-01,30003
2003-12-01,31005
2004-01-01,29467
2004-02-01,30754
2004-03-01,32031
2004-04-01,33062
2004-05-01,32551
2004-06-01,32732
2004-07-01,32627
2004-08-01,32334
2004-09-01,32456
2004-10-01,31909
2004-11-01,32821
2004-12-01,33064
2005-01-01,32727
2005-02-01,32722
2005-03-01,32751
2005-04-01,32724
2005-05-01,33997
2005-06-01,33677
2005-07-01,35208
2005-08-01,35887
2005-09-01,37278
2005-10-01,35885
2005-11-01,35035
2005-12-01,35070
2006-01-01,35678
2006-02-01,36434
2006-03-01,36751
2006-04-01,37058
2006-05-01,37688
2006-06-01,39022
2006-07-01,38721
2006-08-01,39374
2006-09-01,39608
2006-10-01,39509
2006-11-01,40154
2006-12-01,41866
2007-01-01,42053
2007-02-01,42562
2007-03-01,42705
2007-04-01,42988
2007-05-01,43394
2007-06-01,42846
2007-07-01,43512
2007-08-01,44738
2007-09-01,44684
2007-10-01,45559
2007-11-01,45165
2007-12-01,44493
2008-01-01,44604
2008-02-01,45397
2008-03-01,46162
2008-04-01,45965
2008-05-01,46459
2008-06-01,46596
2008-07-01,47651
2008-08-01,47132
2008-09-01,47198
2008-10-01,48001
2008-11-01,48862
2008-12-01,47933
2009-01-01,46907
2009-02-01,47933
2009-03-01,47829
2009-04-01,46710
2009-05-01,46162
2009-06-01,46267
2009-07-01,44406
2009-08-01,44037
2009-09-01,43694
2009-10-01,43221
2009-11-01,40806
2009-12-01,40687
2010-01-01,40013
2010-02-01,38296
2010-03-01,38687
2010-04-01,38857
2010-05-01,39486
2010-06-01,38733
2010-07-01,38735
2010-08-01,39425
2010-09-01,40364
2010-10-01,39629
2010-11-01,40292
2010-12-01,39339
2011-01-01,39400
2011-02-01,38946
2011-03-01,39796
2011-04-01,40011
2011-05-01,39142
2011-06-01,41071
2011-07-01,41283
2011-08-01,40872
2011-09-01,40879
2011-10-01,39170
2011-11-01,40288
2011-12-01,41467
2012-01-01,42281
2012-02-01,42417
2012-03-01,42679
2012-04-01,43579
2012-05-01,43414
2012-06-01,43405
2012-07-01,43192
2012-08-01,43201
2012-09-01,41262
2012-10-01,41464
2012-11-01,40766
2012-12-01,42226
2013-01-01,42043
2013-02-01,41506
2013-03-01,40564
2013-04-01,40494
2013-05-01,40500
2013-06-01,40646
2013-07-01,40969
2013-08-01,40206
2013-09-01,40498
2013-10-01,40657
2013-11-01,40826
2013-12-01,39479
2014-01-01,39179
2014-02-01,39172
2014-03-01,37660
2014-04-01,38494
2014-05-01,38051
2014-06-01,38135
2014-07-01,38873
2014-08-01,38297
2014-09-01,38125
2014-10-01,39538
2014-11-01,39422
2014-12-01,39041
2015-01-01,39534
2015-02-01,39181
2015-03-01,39680
2015-04-01,39901
2015-05-01,40421
2015-06-01,40720
2015-07-01,38614
2015-08-01,40245
2015-09-01,39687
2015-10-01,39599
2015-11-01,39819
2015-12-01,38699
2016-01-01,38562
2016-02-01,39000
2016-03-01,41143
2016-04-01,39656
2016-05-01,39490
2016-06-01,40156
2016-07-01,40708
2016-08-01,40906
2016-09-01,42535
2016-10-01,40906
2016-11-01,41094
2016-12-01,41796
2017-01-01,41292
2017-02-01,42000
2017-03-01,42816
2017-04-01,42285
2017-05-01,43269
2017-06-01,43223
2017-07-01,43015
2017-08-01,44338
2017-09-01,43549
2017-10-01,43864
2017-11-01,43520
2017-12-01,44408
2018-01-01,44237
2018-02-01,43948
2018-03-01,43247
2018-04-01,43648
2018-05-01,44247
2018-06-01,42848
2018-07-01,42778
2018-08-01,43650
2018-09-01,43067
2018-10-01,43750
2018-11-01,42433
2018-12-01,43967
2019-01-01,44921
2019-02-01,44948
2019-03-01,45184
2019-04-01,44956
2019-05-01,45226
2019-06-01,45431
2019-07-01,46678
2019-08-01,45955
2019-09-01,46936
2019-10-01,47160
2019-11-01,48714
2019-12-01,49013
2020-01-01,48296
2020-02-01,48502
2020-03-01,49627
2020-04-01,48344
2020-05-01,47675
2020-06-01,49177
2020-07-01,48828
2020-08-01,48243
2020-09-01,47199
2020-10-01,47793
2020-11-01,46733
2020-12-01,46263
2021-01-01,48731
2021-02-01,46283
2021-03-01,46733
2021-04-01,47837
2021-05-01,47944
2021-06-01,48336
2021-07-01,49839
2021-08-01,49842
2021-09-01,50023
2021-10-01,49821
2021-11-01,51367
2021-12-01,50821
2022-01-01,51179
